Column1;Column2;Column3;Column4
BehaviorSpace results (NetLogo 6.0.4);;;
miners.nlogo;;;
experiment;;;
02/21/2019 21:31:27:989 +0300;;;
min-pxcor;max-pxcor;min-pycor;max-pycor
-16;16;-16;16
[run number];[step];[money] of turtles;[personality] of turtles
175;124;[19 31 0 39];[good good bad good]
168;926;[102 32];[good good]
176;154;[4 42 56];[bad bad good]
177;90;[11 12 35 31];[good good good bad]
178;117;[17 22 62];[good good bad]
179;248;[29 42 20];[bad bad bad]
180;152;[23 36 30];[good bad good]
181;203;[24 41 43];[good good good]
182;180;[20 20 40];[good good bad]
185;109;[27 116 7 12];[bad good good good]
183;462;[77 9];[bad bad]
165;1862;[94];[bad]
186;93;[55 8 19 13 3];[good good good bad good]
184;639;[87];[bad]
187;286;[66 18];[bad bad]
189;191;[90 55];[bad bad]
188;129;[32 37 20];[good bad bad]
191;117;[35 46 18];[good bad bad]
192;140;[23 3 34 1 19];[good good bad bad good]
190;273;[38 28 6 29];[good good good bad]
195;96;[13 18 14 16 25];[good good bad bad good]
196;301;[94 4 0];[good good good]
194;258;[50 55];[good bad]
197;353;[15 20 46];[good good good]
198;347;[21 89];[bad bad]
199;101;[63 17 0 0];[good bad bad bad]
200;303;[15 9 32 29];[bad good good good]
193;1787;[106];[bad]
