"BehaviorSpace results (NetLogo 6.0.4)"
"miners.nlogo"
"experiment"
"02/21/2019 21:27:48:922 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20","21","21","22","22","23","23","24","24","25","25","26","26","27","27","28","28","29","29","30","30","31","31","32","32","33","33","34","34","35","35","36","36","37","37","38","38","39","39","40","40","41","41","42","42","43","43","44","44","45","45","46","46","47","47","48","48","49","49","50","50","51","51","52","52","53","53","54","54","55","55","56","56","57","57","58","58","59","59","60","60","61","61","62","62","63","63","64","64","65","65","66","66","67","67","68","68","69","69","70","70","71","71","72","72","73","73","74","74","75","75","76","76","77","77","78","78","79","79","80","80","81","81","82","82","83","83","84","84","85","85","86","86","87","87","88","88","89","89","90","90","91","91","92","92","93","93","94","94","95","95","96","96","97","97","98","98","99","99","100","100","101","101","102","102","103","103","104","104","105","105","106","106","107","107","108","108","109","109","110","110","111","111","112","112","113","113","114","114","115","115","116","116","117","117","118","118","119","119","120","120","121","121","122","122","123","123","124","124","125","125","126","126","127","127","128","128","129","129","130","130","131","131","132","132","133","133","134","134","135","135","136","136","137","137","138","138","139","139","140","140","141","141","142","142","143","143","144","144","145","145","146","146","147","147","148","148","149","149","150","150","151","151","152","152","153","153","154","154","155","155","156","156","157","157","158","158","159","159","160","160","161","161","162","162","163","163","164","164","165","165","166","166","167","167","168","168","169","169","170","170","171","171","172","172","173","173","174","174","175","175","176","176","177","177","178","178","179","179","180","180","181","181","182","182","183","183","184","184","185","185","186","186","187","187","188","188","189","189","190","190","191","191","192","192","193","193","194","194","195","195","196","196","197","197","198","198","199","199","200","200"
"[steps]","85","85","520","520","565","565","154","154","1079","1079","380","380","361","361","316","316","343","343","671","671","207","207","210","210","217","217","353","353","97","97","96","96","125","125","1468","1468","124","124","461","461","422","422","1736","1736","204","204","118","118","348","348","253","253","129","129","327","327","186","186","1037","1037","114","114","87","87","197","197","143","143","189","189","179","179","758","758","150","150","215","215","441","441","87","87","147","147","719","719","528","528","341","341","374","374","703","703","340","340","182","182","93","93","472","472","98","98","116","116","666","666","346","346","347","347","574","574","328","328","449","449","115","115","307","307","154","154","55","55","138","138","253","253","796","796","234","234","237","237","430","430","112","112","129","129","288","288","1080","1080","1071","1071","193","193","921","921","79","79","205","205","429","429","72","72","283","283","250","250","715","715","171","171","663","663","312","312","973","973","202","202","416","416","1183","1183","91","91","1580","1580","214","214","369","369","54","54","229","229","150","150","571","571","104","104","1225","1225","210","210","728","728","231","231","634","634","368","368","257","257","165","165","109","109","170","170","91","91","388","388","325","325","209","209","157","157","190","190","1468","1468","168","168","68","68","447","447","326","326","182","182","194","194","1688","1688","248","248","273","273","94","94","135","135","461","461","706","706","394","394","529","529","527","527","428","428","404","404","108","108","195","195","1897","1897","192","192","244","244","228","228","164","164","65","65","328","328","332","332","779","779","534","534","185","185","118","118","262","262","96","96","487","487","130","130","370","370","210","210","132","132","79","79","234","234","110","110","382","382","224","224","1163","1163","261","261","115","115","123","123","212","212","95","95","412","412","599","599","107","107","214","214","330","330","575","575","290","290","204","204","128","128","206","206","125","125","107","107","121","121","128","128","160","160","463","463","135","135","198","198","241","241","707","707","122","122","336","336","623","623","210","210","116","116","269","269","267","267","296","296","1547","1547","159","159","503","503","409","409","158","158","297","297"

"[initial & final values]","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles","[money] of turtles","[personality] of turtles"
,"[17 66 9]","[good bad good]","[196]","[bad]","[138]","[bad]","[79 4]","[bad good]","[107]","[bad]","[74 25]","[bad bad]","[52 37]","[good good]","[5 89]","[bad bad]","[14 28 28 10]","[good bad good good]","[47 73]","[good good]","[32 32 25 5]","[bad good good bad]","[10 9 71]","[good bad bad]","[26 105]","[good bad]","[66 17]","[bad good]","[18 22 20 19]","[good good good good]","[9 28 51]","[good bad good]","[37 12 0 6 31]","[good good good good good]","[129]","[bad]","[15 73 13]","[good bad good]","[42 57]","[good bad]","[107 9]","[bad good]","[89]","[good]","[10 38 0 51]","[good good good good]","[63 12 32]","[good bad good]","[89]","[bad]","[20 60 2]","[good bad good]","[33 36 10 24]","[good good good good]","[85 17]","[bad bad]","[8 12 32 35]","[good good good bad]","[83]","[bad]","[19 17 2 54]","[bad bad good good]","[20 78]","[good bad]","[84 1]","[bad bad]","[5 143]","[good good]","[14 92 34]","[good good good]","[22 48 12]","[good bad good]","[187]","[bad]","[128]","[bad]","[38 31 11]","[bad bad good]","[81]","[bad]","[41 24 18]","[bad good bad]","[1 104 29]","[good bad bad]","[38 70]","[bad good]","[166]","[bad]","[11 92]","[bad bad]","[93]","[bad]","[59 28]","[good good]","[24 46 46]","[bad good good]","[67 26 11]","[good good good]","[19 15 39 12]","[good bad bad good]","[7 80]","[bad bad]","[30 42 0 26]","[good good good good]","[37 24 33]","[bad bad bad]","[79]","[bad]","[94]","[bad]","[35 62]","[bad bad]","[33 56]","[bad bad]","[131 5]","[bad bad]","[66 21]","[bad good]","[30 26 13 17 4]","[good good good good good]","[34 11 64]","[good good bad]","[44 43]","[bad good]","[26 16 21 20 0]","[bad bad good good bad]","[22 15 58]","[good bad bad]","[45 18 21]","[bad good good]","[89]","[bad]","[37 53 6]","[bad bad good]","[33 52 16]","[good good good]","[189]","[bad]","[9 1 52 25]","[good good bad good]","[23 15 52]","[good bad bad]","[31 66]","[bad good]","[128]","[bad]","[156]","[bad]","[27 34 14 13]","[good good good good]","[116]","[bad]","[23 16 28 29]","[bad good bad bad]","[25 33 16 22]","[good good good bad]","[14 67]","[good bad]","[34 20 38 0]","[bad good good good]","[11 47 31]","[good bad good]","[18 68 18]","[good good good]","[92]","[bad]","[41 14 34]","[good bad good]","[101]","[bad]","[155]","[bad]","[104]","[bad]","[29 52]","[bad good]","[113]","[bad]","[92]","[bad]","[30 36 24]","[bad good good]","[140]","[good]","[47 40]","[bad bad]","[71 70]","[bad bad]","[12 0 32 0 45]","[bad bad bad bad good]","[10 35 15 46]","[good good good good]","[25 11 33 36]","[good good good bad]","[117]","[bad]","[28 32 25 7 1]","[good good good good bad]","[113]","[bad]","[27 24 49]","[good good bad]","[93]","[bad]","[37 11 54]","[good good bad]","[111]","[bad]","[13 74]","[good bad]","[45 70]","[bad good]","[17 10 15 43 10]","[good good good good good]","[6 17 6 29 25]","[good good good good bad]","[3 9 53 15]","[bad good bad good]","[29 14 1 35]","[bad bad bad good]","[214 19]","[bad good]","[21 54 14]","[good good good]","[51 30 19]","[good bad good]","[43 181]","[bad bad]","[23 60]","[good bad]","[134]","[good]","[74 15]","[bad good]","[32 23 34 16]","[good bad good good]","[84]","[bad]","[26 23 68]","[bad good good]","[56 1 4 24]","[good bad good bad]","[87 8]","[bad good]","[105]","[bad]","[31 38 27]","[good bad good]","[114]","[good]","[11 50 9 18]","[good good good bad]","[28 6 52]","[good bad bad]","[70 24]","[bad good]","[315]","[bad]","[82]","[bad]","[55 18 14 12]","[good good good good]","[105]","[bad]","[13 88]","[good good]","[36 49]","[bad bad]","[9 19 0 33 27]","[good bad good good good]","[33 19 12 18]","[good bad bad bad]","[96]","[bad]","[24 49 17]","[bad bad good]","[8 23 54]","[good bad bad]","[62 8]","[bad good]","[58 0 0 27]","[bad bad bad bad]","[22 64 13]","[bad good good]","[50 33]","[bad bad]","[59 35]","[bad bad]","[25 9 80]","[good good good]","[101]","[good]","[25 2 26 30]","[good good bad good]","[0 21 31 15 30]","[bad good bad good bad]","[43 54]","[bad bad]","[1 42 28 7]","[good bad bad bad]","[41 57]","[good bad]","[8 4 33 44]","[good bad good bad]","[85]","[bad]","[0 22 30 4 24]","[good good good good good]","[40 30 32]","[good bad good]","[35 10 37]","[good bad good]","[128 20]","[good good]","[0 49 34 8]","[bad good good bad]","[84 44]","[bad bad]","[33 64]","[good bad]","[125]","[bad]","[41 16 54]","[good good good]","[28 28 11 28]","[bad good good good]","[19 42]","[bad bad]","[41 38 30]","[bad good good]","[66 7 2 17]","[bad bad bad bad]","[15 56 25]","[good good good]","[6 95]","[good bad]","[20 1 31 12 29]","[good good good good good]","[19 53 34]","[bad bad bad]","[36 13 38 13]","[good good good good]","[18 31 54]","[bad good good]","[36 46 12]","[good good good]","[43 24 20]","[good good good]","[16 0 41 22]","[good bad bad good]","[41 11 24]","[good bad good]","[7 36 44]","[bad good good]","[51 26 15]","[bad bad bad]","[11 95]","[bad bad]","[29 23 0 29 0]","[good good bad bad good]","[50 69 0]","[good bad good]","[105]","[bad]","[25 16 12 35]","[good bad bad bad]","[58 4 23]","[good good good]","[32 88]","[bad bad]","[79]","[bad]","[70 28]","[bad good]","[44 42]","[bad bad]","[100]","[good]","[12 37 26 8]","[good good good good]","[16 36 29 22]","[good good good good]","[21 59]","[good bad]","[82]","[bad]","[129]","[good]","[98]","[bad]","[50 21 37]","[good good good]","[119]","[bad]","[130]","[bad]","[60 31]","[good bad]","[39 25 43]","[bad good bad]"
